  1   H 1.200   1.0080
  2  He 1.400   4.0026
  3  Li 1.820   6.9400
  4  Be 1.530   9.0122
  5   B 1.920  10.8100
  6   C 1.700  12.0110
  7   N 1.550  14.0070
  8   O 1.520  15.9990
  9   F 1.470  18.9980
 10  Ne 1.540  20.1800
 11  Na 2.270  22.9900
 12  Mg 1.730  24.3050
 13  Al 1.840  26.9820
 14  Si 2.100  28.0850
 15   P 1.800  30.9740
 16   S 1.800  32.0600
 17  Cl 1.750  35.4500
 18  Ar 1.880  39.9480
 19   K 2.750  39.0980
 20  Ca 2.310  40.0780
 21  Sc 2.110  44.9560
 22  Ti 1.470  47.8670
 23   V 1.340  50.9420
 24  Cr 1.280  51.9960
 25  Mn 1.270  54.9380
 26  Fe 1.260  55.8450
 27  Co 1.250  58.9330
 28  Ni 1.630  58.6930
 29  Cu 1.400  63.5460
 30  Zn 1.390  65.3800
 31  Ga 1.870  69.7230
 32  Ge 2.110  72.6300
 33  As 1.850  74.9220
 34  Se 1.900  78.9600
 35  Br 1.850  79.9040
 36  Kr 2.020  83.7980
 37  Rb 3.030  85.4680
 38  Sr 2.490  87.6200
 39   Y 1.800  88.9060
 40  Zr 1.600  91.2240
 41  Nb 1.460  92.9060
 42  Mo 1.390  95.9600
 43  Tc 1.360  97.9100
 44  Ru 1.340 101.0700
 45  Rh 1.340 102.9200
 46  Pd 1.630 106.4200
 47  Ag 1.720 107.8700
 48  Cd 1.580 112.4100
 49  In 1.930 114.8200
 50  Sn 2.170 118.7100
 51  Sb 2.060 121.7600
 52  Te 2.060 127.6000
 53   I 1.980 126.9000
 54  Xe 2.160 131.2900
 55  Cs 3.430 132.9100
 56  Ba 2.680 137.3300
 57  La 1.870 138.9100
 58  Ce 1.818 140.1200
 59  Pr 1.824 140.9100
 60  Nd 1.814 144.2400
 61  Pm 1.834 144.9100
 62  Sm 1.804 150.3600
 63  Eu 1.804 151.9600
 64  Gd 1.804 157.2500
 65  Tb 1.773 158.9300
 66  Dy 1.781 162.5000
 67  Ho 1.762 164.9300
 68  Er 1.761 167.2600
 69  Tm 1.759 168.9300
 70  Yb 1.760 173.0500
 71  Lu 1.738 174.9700
 72  Hf 1.590 178.4900
 73  Ta 1.460 180.9500
 74   W 1.390 183.8400
 75  Re 1.370 186.2100
 76  Os 1.350 190.2300
 77  Ir 1.355 192.2200
 78  Pt 1.750 195.0500
 79  Au 1.660 196.9700
 80  Hg 1.550 200.5900
 81  Tl 1.960 204.3800
 82  Pb 2.020 207.2000
 83  Bi 2.070 208.9800
 84  Po 1.970 208.9800
 85  At 2.020 209.9900
 86  Rn 2.200 222.0200
 87  Fr 3.480 223.0200
 88  Ra 2.830 226.0300
 89  Ac 1.950 227.0300
 90  Th 1.790 232.0400
 91  Pa 1.630 231.0400
 92   U 1.860 238.0300
 93  Np 1.550 237.0500
 94  Pu 1.590 244.0600
 95  Am 1.730 243.0600
 96  Cm 1.740 247.0700
 97  Bk 1.700 247.0700
 98  Cf 1.880 251.0800
 99  Es 1.880 252.0800
100  Fm 0.000 257.1000
101  Md 0.000 258.1000
102  No 0.000 259.1000
103  Lr 0.000 262.1100
104  Rf 0.000 265.1200
105  Db 0.000 268.1300
106  Sg 0.000 271.1300
107  Bh 0.000 270.0000
108  Hs 0.000 277.1500
109  Mt 0.000 276.1500
110  Ds 0.000 281.1500
111  Rg 0.000 280.1600
112  Cn 0.000 285.1700
113 Uut 0.000 284.1800
114  Fl 0.000 289.1900
115 Uup 0.000 288.1900
116  Lv 0.000 293.0000
117 Uus 0.000 294.0000
118 Uuo 0.000 294.0000
119 Z10 1.000 100.0000
120 Z14 1.400 100.0000
